name,rating,reviews,company_type,Head_Quarters
FIS,3.8,(6.5k),FinTech,Pune +60 other locations
Cholamandalam Investment & Finance,3.8,(6.5k),Financial Services,Chennai +850 other locations
Oracle,3.5,(6.3k),Software Product,Bengaluru +56 other locations
Omega Healthcare,3.8,(6.3k),BPO,Chennai +69 other locations
IIFL Finance,4.0,(6.3k),NBFC,Mumbai +804 other locations
Muthoot Finance,3.7,(6.3k),NBFC,Bengaluru +788 other locations
JLL,4.1,(6.2k),Real Estate,Gurugram +84 other locations
Indian Army,4.7,(6.2k),Defence & Aerospace,New Delhi +363 other locations
eClerx,3.1,(6.2k),IT Services & Consulting,Pune +32 other locations
HCL Group,3.5,(6.1k),IT Services & Consulting,Chennai +97 other locations
Virtusa Consulting Services,3.7,(6k),IT Services & Consulting,Hyderabad +55 other locations
DMart,3.9,(6k),Retail,Mumbai +247 other locations
Piramal Finance,4.2,(6k),NBFC,Mumbai +424 other locations
HSBC Group,3.9,(5.9k),Financial Services,Bengaluru +63 other locations
Indiamart Intermesh,3.5,(5.9k),Internet,Noida +173 other locations
PolicyBazaar,3.8,(5.9k),Internet,Gurugram +150 other locations
SMFG India Credit,3.9,(5.8k),NBFC,Mumbai +596 other locations
Access Healthcare,3.7,(5.8k),BPO,Chennai +63 other locations
BigBasket,3.9,(5.7k),Internet,Bengaluru +142 other locations
Aurobindo Pharma,4.0,(5.7k),Pharma,Hyderabad +115 other locations
Siemens,3.9,(5.7k),Industrial Automation,Bengaluru +153 other locations
Udaan,3.9,(5.7k),Internet,Bengaluru +367 other locations
GlobalLogic,3.5,(5.7k),IT Services & Consulting,Hyderabad +60 other locations
Manappuram Finance,3.9,(5.7k),NBFC,Bengaluru +656 other locations
Firstsource Solutions,3.5,(5.7k),BPO,Bengaluru +74 other locations
ICICI Lombard General Insurance Company,3.5,(5.7k),Insurance,Mumbai +316 other locations
Tata Capital,4.0,(5.7k),NBFC,Mumbai +445 other locations
Shapoorji Pallonji Group,4.1,(5.6k),Engineering & Construction,Mumbai +190 other locations
Standard Chartered,3.6,(5.6k),Banking,Chennai +67 other locations
UST,3.7,(5.6k),IT Services & Consulting,Bengaluru +51 other locations
Apollo Hospitals,4.1,(5.6k),Healthcare,Chennai +228 other locations
Mahindra Finance,3.9,(5.6k),NBFC,Mumbai +734 other locations
Bosch Global Software Technologies,3.7,(5.5k),IT Services & Consulting,Bengaluru +47 other locations
Ashok Leyland,4.0,(5.5k),Automobile,Chennai +265 other locations
Swiggy,3.7,(5.5k),Internet,Bengaluru +232 other locations
Citicorp,3.7,(5.4k),Financial Services,Pune +68 other locations
Hero MotoCorp,4.1,(5.4k),Automobile,Gurugram +369 other locations
CGI Group,4.0,(5.3k),IT Services & Consulting,Bengaluru +43 other locations
Cyient,3.6,(5.3k),IT Services & Consulting,Hyderabad +49 other locations
SBI Cards & Payment Services,3.6,(5.2k),Financial Services,Gurugram +443 other locations
BNY,3.6,(5.2k),Financial Services,Pune +26 other locations
Kalpataru Projects International,4.2,(5.2k),Engineering & Construction,Mumbai +323 other locations
IQVIA,3.7,(5.1k),Clinical Research,Bengaluru +65 other locations
JustDial,3.5,(5.1k),Internet,Noida +231 other locations
NTT DATA,3.8,(5.1k),IT Services & Consulting,Bengaluru +81 other locations
Nagarjuna Construction Company,4.0,(5.1k),Engineering & Construction,Hyderabad +298 other locations
SBI Life Insurance Company,3.7,(5k),Insurance,Mumbai +657 other locations
Schneider Electric,4.1,(5k),Industrial Automation,Bengaluru +119 other locations
CBRE,4.1,(5k),Real Estate,Hyderabad +91 other locations
TVS Motor,3.9,(5k),Automobile,Hosur +352 other locations
Persistent Systems,3.6,(5k),IT Services & Consulting,Pune +41 other locations
State Bank of India,3.8,(4.9k),Banking,Mumbai +620 other locations
vivo,4.1,(4.9k),Consumer Electronics & Appliances,Noida +415 other locations
Atos,3.8,(4.9k),IT Services & Consulting,Pune +49 other locations
KEC International,4.0,(4.8k),Engineering & Construction,Mumbai +312 other locations
Ecom Express,4.0,(4.8k),Logistics,Gurugram +778 other locations
Amdocs,3.6,(4.8k),Software Product,Pune +24 other locations
JBM Group,3.9,(4.8k),Auto Components,Gurugram +117 other locations
Eviden,3.6,(4.8k),IT Services & Consulting,Pune +39 other locations
Varun Beverages,4.0,(4.7k),Beverage,New Delhi +382 other locations
