name,rating,reviews,company_type,Head_Quarters
McCain Foods,4.1,(565),FMCG,Mahesana +74 other locations
Maxop Engineering Co.,4.1,(564),Auto Components,Gurugram +15 other locations
Alcon,3.8,(564),Medical Equipment,Bengaluru +38 other locations
Baker Hughes,4.1,(563),Oil & Gas,Bengaluru +38 other locations
Expleo Group,3.4,(564),IT Services & Consulting,Pune +9 other locations
Iron Mountain Inc,3.8,(562),IT Services & Consulting,Bengaluru +49 other locations
Transport Corporation Of India,3.8,(563),Logistics,Gurugram +81 other locations
Levi Strauss & Co.,4.2,(562),Fashion & Textile,Bengaluru +80 other locations
Allianz Services,4.2,(562),Insurance,Thiruvananthapuram +13 other locations
Prochant,3.9,(561),Analytics & KPO,Chennai +9 other locations
Empower,4.0,(561),Financial Services,Bengaluru +12 other locations
Kauvery Hospital,4.0,(561),Healthcare,Chennai +21 other locations
United Spirits,4.1,(559),Beverage,Bengaluru +95 other locations
Paras Dairy,3.4,(558),Food Processing,New Delhi +59 other locations
Voyants Solutions,3.7,(558),Engineering & Construction,Gurugram +94 other locations
Toyota Industries Engine India,4.4,(558),Auto Components,Bengaluru +15 other locations
Lear Corporation,4.0,(557),Auto Components,Pune +19 other locations
Andritz Hydro Location India,3.8,(557),Chennai +28 other locations,
C5i,4.2,(558),Analytics & KPO,Bengaluru +16 other locations
Wow Momo Foods,3.6,(557),Hospitality,Kolkata +53 other locations
BAXY,4.0,(572),Auto Components,Bhiwadi +38 other locations
HUDL,3.2,(557),Software Product,Mumbai +17 other locations
Toothsi,2.7,(557),Internet,Mumbai +19 other locations
Solara Active Pharma Sciences,3.7,(556),Pharma,Chennai +19 other locations
Herbalife International,4.0,(556),Healthcare,Bengaluru +85 other locations
UTL Solar,3.7,(556),Electronics Manufacturing,New Delhi +78 other locations
Genesys International Corporation,3.4,(555),IT Services & Consulting,Mumbai +15 other locations
QSpiders,3.7,(555),Education & Training,Bengaluru +26 other locations
DB Schenker,4.3,(555),Logistics,Gurugram +40 other locations
ArcelorMittal,4.1,(555),Iron & Steel,Surat +49 other locations
Congruex Asia Pacific,3.7,(555),Engineering & Construction,Sahibzada Ajit Singh Nagar +24 other locations
Paramount Health Services Tpa,3.8,(556),Insurance,Mumbai +40 other locations
Matrimonialsindia,4.9,(554),Internet,New Delhi
Courtyard by Marriott,4.2,(554),Hospitality,Mumbai +41 other locations
Renault,4.1,(553),Automobile,Chennai +149 other locations
BUSINESSNEXT,3.5,(553),Software Product,Noida +9 other locations
Z X Learning,4.3,(553),EdTech,Lucknow +89 other locations
MITS Global Consulting,4.5,(553),Recruitment,Mumbai +12 other locations
"DATAMARK, Inc.",3.5,(553),BPO,Chennai +13 other locations
Mahendra NextWealth IT,3.4,(552),IT Services & Consulting,Salem +26 other locations
Practo,3.0,(551),Internet,Bengaluru +24 other locations
Artemis Hospitals,4.1,(551),Healthcare,Gurugram +20 other locations
Bajaj Consumer Care,3.8,(551),FMCG,Mumbai +111 other locations
FiveS Digital,3.4,(550),BPO,Jamshedpur +27 other locations
Prestige Group,4.3,(550),Real Estate,Bengaluru +30 other locations
Sandoz,4.0,(550),Pharma,Hyderabad +20 other locations
The Times of India,3.6,(549),Media & Entertainment,New Delhi +53 other locations
Laxmi Organic Industries,3.9,(550),Chemicals,Mahad +18 other locations
Ambit Finvest,4.0,(549),NBFC,Mumbai +112 other locations
Unimoni,3.9,(549),FinTech,Chennai +134 other locations
Innominds Software,3.2,(548),IT Services & Consulting,Hyderabad +7 other locations
Navin Fluorine International,3.8,(549),Chemicals,Surat +17 other locations
Harman Finochem,3.6,(548),Pharma,Chhatrapati Sambhajinagar +15 other locations
Carlsberg,4.0,(547),Beverage,Gurugram +66 other locations
Marelli,3.5,(547),Auto Components,Gurugram +18 other locations
Western Refrigeration,3.8,(547),Industrial Machinery,Vapi +40 other locations
General Motors,4.0,(548),Automobile,Pune +36 other locations
Datamatics Business Solutions,3.4,(547),Management Consulting,Mumbai +13 other locations
Inox Wind,3.8,(547),Power,Noida +41 other locations
Bharat Fritz Werner,3.9,(546),Industrial Machinery,Bengaluru +18 other locations
Kirloskar Pneumatic,4.0,(546),Industrial Machinery,Pune +21 other locations
SAEL Industries Limited,4.0,(546),Power,New Delhi +62 other locations
MR.DIY,3.4,(545),Retail,Mumbai +85 other locations
Propertypistol Realty,3.7,(544),Internet,Mumbai +25 other locations
Enco Engineers Combine,3.7,(544),Auto Components,Gurugram +17 other locations
Kellogg Brown and Root,4.1,(544),Engineering & Construction,Chennai +36 other locations
Titan Engineering & Automation,3.8,(545),Engineering & Construction,Hosur +18 other locations
LendingKart,3.6,(543),NBFC,Ahmedabad +46 other locations
Offshore Infrastructures,4.2,(543),Engineering & Construction,Mumbai +51 other locations
Virtual Employee,3.3,(543),Recruitment,Noida +22 other locations
L & W Constructions,3.9,(543),Engineering & Construction,Bengaluru +19 other locations
GSPANN Technologies,4.1,(542),IT Services & Consulting,Hyderabad +9 other locations
Gayatri Projects,3.9,(542),Engineering & Construction,Hyderabad +71 other locations
Utility Powertech,3.8,(541),Power,New Delhi +92 other locations
BLK Super Speciality Hospital,3.9,(541),Healthcare,New Delhi +16 other locations
Craftsman Automation,3.8,(542),Auto Components,Coimbatore +25 other locations
Anudip Foundation,3.7,(541),Non-Profit,Kolkata +62 other locations
Yokohama,3.7,(541),Auto Components,Bahadurgarh +44 other locations
WPP Media,3.6,(542),Marketing & Advertising,Gurugram +27 other locations
Dhani Healthcare,3.5,(540),FinTech,Gurugram +81 other locations
Maini Precision Products,3.4,(540),Auto Components,Bengaluru +11 other locations
Roop Polymers,3.9,(540),Auto Components,Gurugram +25 other locations
RAK Ceramics,3.8,(540),Building Material,Mumbai +61 other locations
Eicher Motors,4.1,(540),Automobile,Indore +96 other locations
Hi Tech Gears,4.0,(539),Auto Components,Bhiwadi +29 other locations
Bharti Infratel,4.7,(539),Telecom,Gurugram +69 other locations
AM Infoweb,3.8,(538),BPO,Pune +8 other locations
Sulzer,3.9,(537),Industrial Machinery,Pune +25 other locations
RadiSys,3.8,(537),Telecom,Bengaluru +11 other locations
Macawber Beekay,4.2,(537),Industrial Machinery,Noida +56 other locations
Fena,4.0,(536),FMCG,New Delhi +84 other locations
RuralShores,3.6,(536),BPO,Bengaluru +47 other locations
Cpf India,4.1,(536),Food Processing,Bengaluru +59 other locations
Maxgen Technologies,4.5,(536),IT Services & Consulting,Pune +8 other locations
Vestige,4.3,(536),Fitness & Wellness,New Delhi +110 other locations
Tracxn,2.8,(536),Internet,Bengaluru +11 other locations
RMC Readymix,3.6,(535),Building Material,Mumbai +67 other locations
Insuremile,4.7,(535),Internet,Bengaluru +16 other locations
Telenor,4.1,(534),Telecom,Gurugram +115 other locations
S P Singla Constructions,3.5,(534),Engineering & Construction,Patna +63 other locations
Allianz Partners,3.7,(535),Insurance,Gurugram +19 other locations
Haldiram Snacks,3.9,(534),Food Processing,Noida +66 other locations
CTS Consulting & Technical Support,3.7,(534),Engineering & Construction,Chennai +31 other locations
Unified Mentor,4.2,(535),IT Services & Consulting,Bengaluru +44 other locations
NMDC Limited,4.1,(534),Metals & Mining,Jagdalpur +41 other locations
Infiniti Research,3.4,(533),Analytics & KPO,Bengaluru +8 other locations
Scaler Academy,3.5,(533),EdTech,Bengaluru +8 other locations
Sanmina Sci,4.1,(534),Electronics Manufacturing,Chennai +16 other locations
Sterling,4.0,(532),Healthcare,Mumbai +64 other locations
Zycus Infotech,2.7,(532),Software Product,Mumbai +9 other locations
Kidzee,3.9,(532),EdTech,Kolkata +119 other locations
Castrol,4.3,(531),Petrochemicals,Mumbai +123 other locations
Vimta Labs,3.5,(531),Clinical Research,Hyderabad +29 other locations
Micron Electricals,4.0,(531),Engineering & Construction,Bengaluru +18 other locations
CompuCom,3.8,(530),IT Services & Consulting,Pune +7 other locations
Dusters Total Solutions Services,3.9,(530),Facility Management Services,Bengaluru +62 other locations
Welspun Enterprises,4.2,(530),Engineering & Construction,Mumbai +48 other locations
Regalix,2.7,(531),Marketing & Advertising,Hyderabad +7 other locations
Zolo,3.3,(529),Internet,Bengaluru +25 other locations
Canon,3.9,(529),Consumer Electronics & Appliances,Gurugram +66 other locations
Wellness Forever Medicare,3.9,(529),Retail,Mumbai +41 other locations
DM Immigration Consultant,1.0,(529),Other,Bengaluru +3 other locations
My Home Constructions,4.3,(529),Real Estate,Hyderabad +19 other locations
Reliance Life Sciences,3.6,(528),Clinical Research,Mumbai +34 other locations
5paisa Capital Ltd.,4.1,(528),Financial Services,Mumbai +9 other locations
Stock Holding Corporation of India,3.5,(528),Financial Services,Mumbai +101 other locations
NAV Backoffice,3.8,(528),Accounting & Auditing,Jaipur +10 other locations
FMC Corporation,3.9,(528),Agro Chemicals,Bharuch +116 other locations
DFM Foods,4.0,(528),FMCG,New Delhi +79 other locations
Systra Consulting,3.9,(527),Engineering & Construction,New Delhi +40 other locations
Ralson Tyres Limited,3.6,(528),Auto Components,Ludhiana +53 other locations
ExxonMobil,3.8,(526),Oil & Gas,Bengaluru +38 other locations
Mecon,3.8,(526),Metals & Mining,Ranchi +49 other locations
Capital Business Systems,3.6,(526),IT Services & Consulting,New Delhi +109 other locations
Brigade Group,4.1,(526),Real Estate,Bengaluru +11 other locations
BOBCARD Ltd.,4.1,(526),NBFC,Mumbai +107 other locations
Magma General Insurance Limited,3.7,(526),Insurance,Mumbai +87 other locations
Chaayos,3.4,(525),Retail,New Delhi +22 other locations
Emaar India Limited,3.6,(526),Real Estate,Gurugram +18 other locations
Premier Energies,4.0,(526),Electronics Manufacturing,Hyderabad +25 other locations
Satyam Auto Components,3.9,(524),Auto Components,Gurugram +27 other locations
V.S.T Tillers Tractors,3.5,(524),Industrial Machinery,Bengaluru +56 other locations
N.C.L. Industries,3.7,(524),Building Material,Hyderabad +70 other locations
Legrand,3.7,(523),Electrical Equipment,Mumbai +58 other locations
CDK Global,3.8,(523),IT Services & Consulting,Hyderabad +7 other locations
Bharat Gears,4.0,(523),Auto Components,Faridabad +24 other locations
Uttar Pradesh Power Corporation,4.0,(523),Power,Lucknow +89 other locations
Innovatiview India Ltd,4.3,(522),Emerging Technologies,Noida +15 other locations
Karvy Data Management Services,3.8,(521),Analytics & KPO,Hyderabad +81 other locations
House Of Anita Dongre,4.2,(521),Fashion & Textile,Mumbai +48 other locations
Wockhardt Hospital,4.0,(521),Healthcare,Mumbai +27 other locations
Tradeshala,4.5,(521),Education & Training,Bengaluru +8 other locations
GUS Education India,3.2,(521),Education & Training,Hyderabad +8 other locations
Ge India Industrial,4.2,(520),Industrial Machinery,Pune +23 other locations
MUTHOOT HOMEFIN (I) LTD.,3.8,(520),NBFC,Mumbai +107 other locations
Vidal Health Insurance,3.7,(520),Insurance,Bengaluru +37 other locations
ACTE,4.7,(519),Education & Training,Chennai +10 other locations
Foray Software,3.4,(519),IT Services & Consulting,Hyderabad +17 other locations
Hafele,3.9,(519),Furniture & Furnishing,Mumbai +44 other locations
Indecomm Global Services,3.9,(520),IT Services & Consulting,Bengaluru +13 other locations
Ziqitza Health Care,3.9,(518),Healthcare,Mumbai +60 other locations
Aptus Value Housing Finance India,4.1,(518),NBFC,Chennai +153 other locations
Metro Group of Hospitals,3.8,(518),Healthcare,New Delhi +32 other locations
EC-Council,4.1,(518),EdTech,Hyderabad +18 other locations
Suprajit Engineering,3.9,(517),Auto Components,Bengaluru +38 other locations
JK Tech,3.7,(517),IT Services & Consulting,Bengaluru +20 other locations
Quikr,3.5,(517),Internet,Bengaluru +24 other locations
Coats,3.6,(517),Fashion & Textile,Bengaluru +56 other locations
DiGibizz,,,Mumbai +162 other locations,
Pierian Services,3.3,(516),Management Consulting,Bengaluru +19 other locations
Hitech Projects Limited,4.6,(516),Engineering & Construction,Ahmedabad +8 other locations
Consero Global Solutions,3.0,(517),Financial Services,Bengaluru +10 other locations
Chemplast Sanmar,3.4,(516),Chemicals,Salem +20 other locations
Vishwa Samudra Engineering,3.6,(545),Engineering & Construction,Hyderabad +42 other locations
ATS Infrastructure,4.1,(516),Real Estate,Noida +12 other locations
Metriqe Solutions,3.9,(516),BPO,Chennai +5 other locations
IKF Finance,3.9,(514),NBFC,Hyderabad +128 other locations
PEGATRON,3.9,(514),Electronics Manufacturing,Chennai +13 other locations
Amar Ujala,3.9,(514),Printing & Publishing,Noida +54 other locations
AML RightSource,2.7,(562),IT Services & Consulting,New Delhi +9 other locations
RSB Transmissions,3.9,(514),Auto Components,Pune +23 other locations
Williams Lea,3.6,(514),BPO,Chennai +18 other locations
OMICS International,2.5,(514),Printing & Publishing,Hyderabad +6 other locations
Pitti Engineering,3.8,(513),Industrial Machinery,Hyderabad +13 other locations
F1 Info Solutions and Services,3.7,(513),IT Services & Consulting,Noida +47 other locations
Lakme,4.1,(513),Beauty & Personal Care,Mumbai +78 other locations
Metalman Auto,3.9,(513),Auto Components,Chhatrapati Sambhajinagar +23 other locations
Mobikwik,3.5,(513),FinTech,Gurugram +49 other locations
Spectrum Talent Management,3.5,(512),Recruitment,Noida +85 other locations
Hindusthan National Glass,3.7,(512),Packaging,Bahadurgarh +23 other locations
Vivanta by Taj,4.2,(512),Hospitality,New Delhi +48 other locations
OutworX,3.5,(512),IT Services & Consulting,Pune +40 other locations
Morepen Laboratories,3.9,(512),Pharma,New Delhi +48 other locations
Macquarie Group,3.2,(511),Financial Services,Gurugram +17 other locations
Hitachi Systems,3.9,(511),IT Services & Consulting,Mumbai +40 other locations
Saksoft,3.5,(511),IT Services & Consulting,Bengaluru +18 other locations
Indian Bank,3.4,(511),Banking,Chennai +117 other locations
Galaxy Surfactants,3.8,(510),Chemicals,Mumbai +25 other locations
Nivea,4.2,(510),Beauty & Personal Care,Mumbai +69 other locations
LearningMate Solutions,2.9,(509),EdTech,Mumbai +12 other locations
AT&T,3.9,(509),Telecom,Bengaluru +18 other locations
Centum Learning,3.7,(508),Education & Training,New Delhi +82 other locations
Hero Cycles,3.3,(508),Automobile,Ludhiana +48 other locations
Kokilaben Dhirubhai Ambani Hospital,3.7,(508),Healthcare,Mumbai +20 other locations
Securitas,3.8,(509),Law Enforcement & Security,Gurugram +44 other locations
Dr. Agarwal's Eye Hospital,3.8,(509),Healthcare,Chennai +80 other locations
Poorvika Mobiles,4.0,(508),Retail,Chennai +62 other locations
Webskitters,3.8,(507),IT Services & Consulting,Kolkata +4 other locations
Ministry of Defence,4.3,(507),Government,New Delhi +74 other locations
Ramraj Cotton,4.1,(507),Fashion & Textile,Tiruppur +47 other locations
CMR Green Technologies,3.5,(507),Metals & Mining,Faridabad +34 other locations
Cairn Energy,3.6,(506),Oil & Gas,Barmer +31 other locations
Pace Setters Business Solutions,3.5,(505),BPO,Mumbai +24 other locations
Amara Raja Infra,3.9,(506),Engineering & Construction,Hyderabad +53 other locations
HSBC Global Banking and Markets,3.9,(506),Banking,Bengaluru +15 other locations
FinThrive,3.5,(506),Analytics & KPO,Chennai +8 other locations
RapiPay,3.6,(505),FinTech,Noida +110 other locations
Atomberg Technologies,3.8,(504),Consumer Electronics & Appliances,Pune +64 other locations
Muthoottu Mini Financiers,3.5,(504),NBFC,Bengaluru +100 other locations
BharatMatrimony.com,3.9,(503),Internet,Chennai +31 other locations
Mobile Programming,2.9,(503),IT Services & Consulting,Bengaluru +23 other locations
Addverb Technologies,3.5,(503),Industrial Automation,Noida +23 other locations
RSM India,3.3,(503),Mumbai +35 other locations,
QHTalbros,3.7,(503),Auto Components,Gurugram +26 other locations
Innovaccer,3.3,(502),Software Product,Noida +8 other locations
TÜV Rheinland,4.1,(502),"Testing, Inspection and Certification (TIC)",Bengaluru +69 other locations
BKT Tyres,4.2,(502),Auto Components,Bhuj +32 other locations
Safari Industries India,4.0,(502),Retail,Mumbai +75 other locations
Adda 247,3.6,(502),EdTech,Gurugram +24 other locations
Cuemath,3.5,(502),EdTech,Bengaluru +22 other locations
Vakrangee,3.7,(501),BPO,Mumbai +89 other locations
Great Learning,3.5,(502),EdTech,Bengaluru +12 other locations
CARE,4.3,(501),Non-Profit,Patna +114 other locations
Deloitte Digital,3.8,(502),IT Services & Consulting,Bengaluru +29 other locations
Sarovar Hotels & Resorts,4.1,(500),Hospitality,New Delhi +70 other locations
Nelito System,3.3,(500),IT Services & Consulting,Mumbai +41 other locations
Hamdard,4.0,(500),FMCG,New Delhi +75 other locations
Voltech,3.4,(500),Electrical Equipment,Chennai +44 other locations
Insolutions Global,3.6,(500),FinTech,Mumbai +20 other locations
Johnson Matthey,3.8,(500),Metals & Mining,Gurugram +23 other locations
Rakuten,3.5,(499),IT Services & Consulting,Bengaluru +11 other locations
African Industries,3.9,(499),Iron & Steel,Lagos +24 other locations
Stylebaazar,4.0,(500),Retail,Kolkata +93 other locations
Lotus Herbals Private Limited,4.1,(499),Beauty & Personal Care,New Delhi +74 other locations
Alchemy Techsol India,3.4,(499),IT Services & Consulting,Bengaluru +20 other locations
Dalmia Bharat Group,3.9,(499),Building Material,New Delhi +102 other locations
Emerson Electric Co.,4.0,(499),IT Services & Consulting,Pune +25 other locations
Future Lifestyle Fashion,4.2,(498),Retail,Bengaluru +63 other locations
LIC Housing Finance,3.9,(498),NBFC,Mumbai +123 other locations
Tuaman Engineering,4.2,(498),Engineering & Construction,Kolkata +36 other locations
Alight Solutions,3.3,(498),IT Services & Consulting,Gurugram +14 other locations
SunTec Web Services,3.2,(497),BPO,New Delhi +9 other locations
Kandhari Beverages,3.8,(497),Beverage,Jammu +50 other locations
Gyan Dairy,4.0,(496),Food Processing,Lucknow +45 other locations
Sheela Foam,3.9,(496),Furniture & Furnishing,Noida +92 other locations
ZEISS India,3.7,(496),Industrial Machinery,Bengaluru +35 other locations
ServiceNow,4.0,(496),Software Product,Hyderabad +15 other locations
Micron Technology,3.6,(496),Semiconductors,Hyderabad +16 other locations
TRINAMIX,4.4,(496),IT Services & Consulting,Pune +5 other locations
Global Autotech,4.0,(495),Auto Components,Greater Noida +16 other locations
BharatPe,3.5,(495),FinTech,Gurugram +80 other locations
Rusan Pharma,3.5,(496),Pharma,Dehradun +24 other locations
Axa XL,3.6,(494),Insurance,Gurugram +6 other locations
BCG,3.6,(496),Management Consulting,Gurugram +8 other locations
Pepperfry,3.1,(492),Furniture & Furnishing,Mumbai +38 other locations
ThoughtSol Infotech Limited,4.6,(492),IT Services & Consulting,New Delhi +18 other locations
Kalyani Technoforge,3.8,(492),Auto Components,Pune +18 other locations
India Post,3.7,(492),Government,Bengaluru +189 other locations
Markets and Markets,2.8,(492),Analytics & KPO,Pune +17 other locations
Hinduja Tech,3.2,(493),IT Services & Consulting,Chennai +17 other locations
Techwave Consulting,3.7,(492),IT Services & Consulting,Hyderabad +5 other locations
Varuna Integrated Logistics,3.8,(492),Logistics,Gurugram +54 other locations
Mars International India,4.2,(492),Food Processing,Hyderabad +85 other locations
MindGate Solutions,3.1,(491),IT Services & Consulting,Mumbai +10 other locations
Go First,3.9,(491),Aviation,Mumbai +34 other locations
Voya India,3.7,(491),Financial Services,Bengaluru +12 other locations
Texmo Industries,3.8,(491),Industrial Machinery,Coimbatore +36 other locations
Communications Test Design,3.7,(491),IT Services & Consulting,Bengaluru +51 other locations
N+A,3.8,(490),Financial Services,Bengaluru +66 other locations
2COMS,3.2,(490),Kolkata +51 other locations,
HealthifyMe,2.8,(490),Internet,Bengaluru +18 other locations
Value Point Systems,3.5,(490),IT Services & Consulting,Bengaluru +44 other locations
QUICK HEAL TECHNOLOGIES,3.6,(490),Software Product,Pune +46 other locations
Jindal Power Limited,4.3,(490),Power,Raigarh +38 other locations
Yardi Systems,3.6,(490),Software Product,Pune +2 other locations
Par Health,4.1,(489),Pharma,Indore +11 other locations
Medikabazaar,4.3,(489),Medical Equipment,Mumbai +32 other locations
QBurst Technologies,4.2,(490),Software Product,Kochi +16 other locations
Juniper Networks,4.2,(488),Hardware & Networking,Bengaluru +8 other locations
Adani Cement,3.5,(488),Building Material,Ahmedabad +136 other locations
Tractebel,4.1,(488),Engineering & Construction,Gurugram +89 other locations
Sadbhav Engineering,4.2,(487),Engineering & Construction,Ahmedabad +66 other locations
Ivrcl Infrastructures & Projects,4.3,(486),Engineering & Construction,Hyderabad +54 other locations
Trimax IT Infrastructure Services,3.6,(487),IT Services & Consulting,Mumbai +70 other locations
Kirby Building Systems,4.0,(486),Building Material,Hyderabad +38 other locations
Sterling Holiday Resort,3.8,(486),Hospitality,Chennai +65 other locations
Maersk Line,4.0,(486),Logistics,Pune +27 other locations
Bira 91,3.3,(486),Beverage,New Delhi +57 other locations
NJ India Invest,3.7,(486),Financial Services,Surat +81 other locations
InCred Finance,3.8,(486),NBFC,Mumbai +67 other locations
Think Gas Ludhiana,3.6,(484),Oil & Gas,Chennai +50 other locations
Romsons Group Of Industries,3.7,(484),Medical Equipment,Agra +57 other locations
Epiroc,4.1,(483),Industrial Machinery,Bengaluru +27 other locations
Akal Information Systems,4.3,(483),Software Product,New Delhi +52 other locations
Saud Bahwan Group,3.6,(482),Automobile,Muscat +26 other locations
C-Edge Technologies,3.7,(482),IT Services & Consulting,Mumbai +20 other locations
Signature Global,3.9,(482),Real Estate,Gurugram +14 other locations
Mahanagar Gas,4.2,(482),Oil & Gas,Mumbai +26 other locations
Sri Krishna Pharmaceuticals,3.9,(482),Pharma,Hyderabad +15 other locations
Siemens Healthineers,3.9,(481),Healthcare,Bengaluru +19 other locations
Otsuka Pharmaceutical India Private Limited,4.1,(481),Pharma,Ahmedabad +41 other locations
GD Goenka Public School,3.4,(481),Education & Training,New Delhi +72 other locations
Invesco,3.7,(481),Financial Services,Hyderabad +7 other locations
Flowserve,3.8,(481),Industrial Machinery,Bengaluru +16 other locations
Ppap Automotive,3.7,(481),Auto Components,Noida +18 other locations
Quinnox,3.9,(481),IT Services & Consulting,Bengaluru +8 other locations
Xerox,3.7,(480),Printing & Publishing,Bengaluru +34 other locations
Orcapod Consulting Services,3.1,(480),IT Services & Consulting,Hyderabad +22 other locations
Cadbury,4.3,(480),Food Processing,Mumbai +113 other locations
Athenahealth Technology,4.1,(480),Software Product,Chennai +10 other locations
Aparna Enterprises,3.9,(480),Building Material,Hyderabad +43 other locations
SUEZ Group,4.2,(480),Waste Management,New Delhi +49 other locations
Grindwell Norton,3.5,(480),Industrial Machinery,Bengaluru +43 other locations
National Commodities Management Services,4.1,(479),Agriculture,Gurugram +87 other locations
Plastic Omnium,3.7,(479),Automobile,Pune +17 other locations
National Australia Bank,2.9,(479),Banking,Gurugram +9 other locations
MediBuddy,3.3,(479),Healthcare,Bengaluru +18 other locations
iNurture Education Solutions,2.5,(478),EdTech,Bengaluru +39 other locations
Jiva Ayurvedic Pharmacy,3.8,(478),Faridabad +47 other locations,
Cosmo Films,3.7,(478),Packaging,Chhatrapati Sambhajinagar +11 other locations
Ascent Business Solutions,3.3,(478),Analytics & KPO,Nagpur +14 other locations
L. N. Malviya Infra Projects Group,3.1,(478),Engineering & Construction,Bhopal +126 other locations
Riya Travel,3.6,(477),Travel & Tourism,Mumbai +38 other locations
KRBL Limited,3.8,(477),Food Processing,Noida +60 other locations
Walkaroo International,3.6,(497),Fashion & Textile,Coimbatore +54 other locations
Vishvaraj Environment,4.0,(478),Waste Management,Nagpur +54 other locations
Central Public Works Department,4.1,(476),Government,New Delhi +126 other locations
Bridgestone India Automotive Products,4.1,(476),Auto Components,Gurugram +46 other locations
Gilbarco Veeder Root,3.8,(476),Industrial Machinery,Mumbai +60 other locations
Leighton Contractors,4.1,(476),Engineering & Construction,Mumbai +21 other locations
Kellton,3.0,(476),IT Services & Consulting,Gurugram +19 other locations
Lite Bite Foods,4.4,(476),Hospitality,New Delhi +25 other locations
Alpla,3.9,(475),Packaging,Hyderabad +27 other locations
LogixHealth,3.5,(476),Analytics & KPO,Bengaluru +10 other locations
Symbiotec Pharmalab,4.0,(475),Pharma,Indore +15 other locations
Giesecke & Devrient,3.4,(475),IT Services & Consulting,Gurugram +53 other locations
Visa,3.3,(474),FinTech,Bengaluru +18 other locations
Matrix Business Services,3.5,(474),Analytics & KPO,Chennai +25 other locations
Namaste India Foods,3.9,(474),Food Processing,Kanpur +42 other locations
Buzzworks Business Services,3.7,(473),Recruitment,Chennai +69 other locations
EID Parry (India),3.9,(473),Food Processing,Chennai +41 other locations
Westin,4.1,(473),Hospitality,Mumbai +31 other locations
Prime Focus Technologies,3.1,(473),Software Product,Bengaluru +17 other locations
MathCo,3.0,(473),Analytics & KPO,Bengaluru +7 other locations
ASM Technologies,3.5,(473),Engineering & Construction,Bengaluru +21 other locations
Akamai Technologies,4.4,(473),Software Product,Bengaluru +7 other locations
Teradata,3.6,(472),Software Product,Hyderabad +10 other locations
Suzlon Global Services,3.8,(472),Pune +62 other locations,
Tetra Pak,4.1,(472),Packaging,Pune +19 other locations
Bluestone.com,3.4,(471),Jewellery,Bengaluru +65 other locations
Saudi Binladin Group,4.2,(471),Engineering & Construction,Jeddah +32 other locations
Magneti Marelli Motherson Auto System,3.8,(471),Auto Components,Pune +19 other locations
McNally Bharat Engineering,4.0,(471),Engineering & Construction,Kolkata +56 other locations
Protium Finance,3.8,(471),NBFC,Mumbai +78 other locations
Knowledgeworks Global,2.9,(471),Printing & Publishing,Mumbai +13 other locations
Thought Focus,3.3,(471),IT Services & Consulting,Bengaluru +11 other locations
Keysight Technologies,3.8,(471),Electronics Manufacturing,Gurugram +12 other locations
Onshore Construction,3.7,(470),Engineering & Construction,Mumbai +43 other locations
Shalimar Paints,3.5,(470),Chemicals,Gurugram +86 other locations
Oriental Structural Engineers,4.3,(469),Engineering & Construction,New Delhi +62 other locations
Fynd,3.0,(469),Software Product,Mumbai +10 other locations
Allana Group of Companies,3.8,(469),Food Processing,Mumbai +39 other locations
Clove Dental,4.1,(469),Healthcare,New Delhi +18 other locations
Mikuni,4.1,(469),Auto Components,Neemrana +17 other locations
Vindhya e-Info Media,3.5,(468),BPO,Bengaluru +16 other locations
India Glycols,3.9,(468),Chemicals,Kashipur +25 other locations
Jumbotail Technologies,3.7,(468),Retail,Bengaluru +29 other locations
Ramco Industries,4.1,(468),Building Material,Chennai +77 other locations
Bahwan Engineering,4.0,(468),Engineering & Construction,Muscat +24 other locations
Star Bazaar,3.8,(468),Retail,Mumbai +41 other locations
NBTC GROUP,3.2,(468),Oil & Gas,Chennai +25 other locations
Sany Heavy Industry,3.7,(467),Industrial Machinery,Pune +57 other locations
Technico Industries,3.5,(467),Auto Components,Gurugram +20 other locations
ESDS Software Solutions,3.4,(467),IT Services & Consulting,Nashik +14 other locations
Bhilosa Industries,3.7,(467),Fashion & Textile,Dadra & Nagar Haveli +13 other locations
Qcon,4.4,(467),Engineering & Construction,Mumbai +29 other locations
Brainvire,2.9,(466),IT Services & Consulting,Ahmedabad +10 other locations
Marble Box,3.7,(466),BPO,Kolkata +6 other locations
Sayaji Hotels,4.2,(466),Hospitality,Indore +38 other locations
AIG Hospital,4.2,(466),Healthcare,Hyderabad +9 other locations
Honda Logistics,3.6,(467),Logistics,Bhiwadi +27 other locations
Iol Chemicals & Pharmaceuticals,3.8,(465),Pharma,Barnala +16 other locations
Samsung Display,3.9,(465),Electronics Manufacturing,Noida +12 other locations
Gulf Oil Lubricants,4.0,(465),Oil & Gas,Mumbai +81 other locations
Gopal Snacks Limited,4.2,(466),FMCG,Rajkot +100 other locations
CollegeDekho,2.8,(465),EdTech,Gurugram +24 other locations
Saxo Bank,3.7,(465),Gurugram +5 other locations,
Allied Blenders & Distillers,4.0,(464),Beverage,Mumbai +82 other locations
Xanadu,3.7,(464),Real Estate,Mumbai +13 other locations
Greenpanel Industries,4.0,(464),Furniture & Furnishing,Srikalahasti +73 other locations
Essjay Ericsson,4.2,(463),Analytics & KPO,New Delhi +79 other locations
NKG Infrastructure,3.2,(463),Engineering & Construction,New Delhi +46 other locations
